px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.761873	0.651635	7.22794	4.30E-17	-8.06E-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	74.3639
1.13711	0.518398	7.24537	-0.343426	-0.0319924	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.594905
1.26463	0.551682	7.18162	-0.116177	0.00318761	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	2.05569
1.62927	0.553267	7.16289	-0.0368493	0.0487393	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.403057
1.86137	0.553707	6.00853	-0.0655037	-0.346835	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	6.59344
2.17006	0.561707	5.98207	-0.0475001	-0.258113	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.481337
2.38392	0.625216	5.5398	0.0173228	-0.202043	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	5.75213
2.65765	0.638034	5.52941	0.0208281	-0.150184	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0476274
2.92131	0.642504	5.46151	0.00832725	-0.187107	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.182506
3.15454	0.643989	5.41211	0.00983992	-0.148377	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.1374
3.43973	0.546026	5.45088	-0.12473	-0.551381	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.43673
3.74426	0.439284	5.53225	-0.237329	-0.795257	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.3507
4.02218	0.522207	5.51255	-0.108116	-0.343001	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	3.61488
4.29591	0.519804	5.49622	-0.0967577	-0.274703	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.24058
4.55269	0.563664	5.3704	-0.0489894	-0.140434	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.58956
4.73529	0.678745	5.18221	0.0574771	0.0950495	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	11.4135
4.98591	0.679637	5.08279	0.0501633	0.0727818	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	1.40986
5.28582	0.672712	5.15905	0.0359608	0.0396681	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.9513
5.54561	0.679509	5.24798	0.0370928	0.0383463	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.81377
5.84164	0.692195	5.3018	0.0391966	0.0381355	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.73759
6.08263	0.622745	5.16411	-0.0114957	-0.043008	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	3.85056
6.33547	0.731242	5.15097	0.0567353	0.060222	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.18615
6.58488	0.763975	5.10425	0.0705546	0.0753718	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.285013
6.83092	0.76059	5.09132	0.0620751	0.0590831	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.264385
